id;type;name;first_name;second_name;picture_url;producer;country;abv;average_rating;rating_count
228;gin;Anno Kent Dry Gin;;;https://ginventory.reed.be/api/v2/products/228/picture?type=normal;Anno Distillers;United Kingdom;;8.3;145
229;gin;Anno Sloe Gin;;;https://ginventory.reed.be/api/v2/products/229/picture?type=normal;Anno Distillers;United Kingdom;;8.2;19
232;gin;Anselmo Gin;;;https://ginventory.reed.be/api/v2/products/232/picture?type=normal;Headframe Spirits;United States;;6.0;1
233;gin;Anti-aGin;;;https://ginventory.reed.be/api/v2/products/233/picture?type=normal;Bompas & Parr;United Kingdom;;7.0;1
234;gin;Antipodes Gin;;;https://ginventory.reed.be/api/v2/products/234/picture?type=normal;The Antipodes Gin Co.;Australia;;8.6;42
235;gin;Cambridge Distillery Anty Gin - Cambridge Distillery Collection;Cambridge Distillery Anty Gin;Cambridge Distillery Collection;https://ginventory.reed.be/api/v2/products/235/picture?type=normal;The Cambridge Distillery;United Kingdom;;8.4;30
236;gin;Anubis;;;https://ginventory.reed.be/api/v2/products/236/picture?type=normal;Anubis;Spain;;8.4;7
237;gin;Tamworth Garden Apiary Gin;;;https://ginventory.reed.be/api/v2/products/237/picture?type=normal;Tamworth Distilling;United States;;8.5;1
239;gin;Applaus Stuttgart Dry Gin;;;https://ginventory.reed.be/api/v2/products/239/picture?type=normal;Brennerei Dr. Dr. Hans-Otto Frey;Germany;;8.4;201
241;gin;Applewood Distillery Gin;;;https://ginventory.reed.be/api/v2/products/241/picture?type=normal;Applewood Distillery;Australia;;8.6;121
242;gin;Aquamarin Gin;;;https://ginventory.reed.be/api/v2/products/242/picture?type=normal;Brennerei Zum Eulenturm;Germany;;8.7;16
244;gin;Arbikie Kirsty's Gin;;;https://ginventory.reed.be/api/v2/products/244/picture?type=normal;Arbikie Distillery;United Kingdom;;8.3;146
247;gin;Arbutus Druid Oaked Gin;;;https://ginventory.reed.be/api/v2/products/247/picture?type=normal;Arbutus Distillery;Canada;;8.7;3
248;gin;Archie Rose Signature Dry Gin;;;https://ginventory.reed.be/api/v2/products/248/picture?type=normal;Archie Rose Distilling Co.;Australia;;8.6;137
250;gin;Arctic Velvet Premium Gin;;;https://ginventory.reed.be/api/v2/products/250/picture?type=normal;ThoCon AG;Switzerland;;8.6;14
251;gin;Aria Portland Dry Gin;;;https://ginventory.reed.be/api/v2/products/251/picture?type=normal;Bull Run Distilling;United States;;8.3;9
252;gin;Ariki Gin;;;https://ginventory.reed.be/api/v2/products/252/picture?type=normal;Ariki Spirit;New Zealand;;8.3;23
253;gin;Arlington London Dry Gin;;;https://ginventory.reed.be/api/v2/products/253/picture?type=normal;;;;;0
254;gin;Arpon Gin - (Discontinued);Arpon Gin;(Discontinued);https://ginventory.reed.be/api/v2/products/254/picture?type=normal;Arpon;Spain;;;0
255;gin;Arrow London Dry Gin;;;https://ginventory.reed.be/api/v2/products/255/picture?type=normal;The Arrow Liquors Co.;United States;;;0
256;gin;Ascot's Derby Winner - (Discontinued);Ascot's Derby Winner;(Discontinued);https://ginventory.reed.be/api/v2/products/256/picture?type=normal;Pallini;Italy;;;0
257;gin;Asda London Dry Gin;;;https://ginventory.reed.be/api/v2/products/257/picture?type=normal;Asda Stores Ltd.;United Kingdom;;7.3;27
258;gin;Audemus Pink Pepper Gin;;;https://ginventory.reed.be/api/v2/products/258/picture?type=normal;Audemus Spirits;France;;9.0;653
259;gin;August Gin;;;https://ginventory.reed.be/api/v2/products/259/picture?type=normal;Spin & Gin GmbH;Germany;;8.5;126
260;gin;Aurelis Gin;;;https://ginventory.reed.be/api/v2/products/260/picture?type=normal;Zvečevo;Croatia;;6.3;4
261;gin;Austin Reserve Gin;;;https://ginventory.reed.be/api/v2/products/261/picture?type=normal;Revolution Spirits;United States;;8.9;10
262;gin;Austin Reserve Gin Single Barrel #1: French Oak;;;https://ginventory.reed.be/api/v2/products/262/picture?type=normal;Revolution Spirits;United States;;7.0;1
263;gin;Austin's Siver Cat - (Discontinued);Austin's Siver Cat;(Discontinued);https://ginventory.reed.be/api/v2/products/263/picture?type=normal;Pilla;Italy;;;0
264;gin;Aviation American Gin;;;https://ginventory.reed.be/api/v2/products/264/picture?type=normal;House Spirits Distillery;United States;;8.1;1309
265;gin;B1 Swabian Dry Gin;;;https://ginventory.reed.be/api/v2/products/265/picture?type=normal;Manufaktur Broch;Germany;;8.4;30
266;gin;B1863;;;https://ginventory.reed.be/api/v2/products/266/picture?type=normal;Spirits By Design Bvba;Belgium;;7.8;9
268;gin;Back River Gin;;;https://ginventory.reed.be/api/v2/products/268/picture?type=normal;Sweetgrass Farm Winery & Distillery;United States;;8.7;5
269;gin;Bottega Bacûr Distilled Dry Gin;;;https://ginventory.reed.be/api/v2/products/269/picture?type=normal;Bottega S.P.A;Italy;;8.5;458
270;gin;Bad Medicine Gin;;;https://ginventory.reed.be/api/v2/products/270/picture?type=normal;Panther Distillery;United States;;6.8;4
271;gin;Bad Vilbeler Dry Gin;;;https://ginventory.reed.be/api/v2/products/271/picture?type=normal;Kornmayer's Manufaktur;Germany;;7.7;2
272;gin;Bafferts;;;https://ginventory.reed.be/api/v2/products/272/picture?type=normal;Hayman Distillers Ltd. (Infinium Spirits);United Kingdom;;7.4;2
273;gin;Bafferts Mint Flavored Gin;;;https://ginventory.reed.be/api/v2/products/273/picture?type=normal;Hayman Distillers Ltd. (Infinium Spirits);United Kingdom;;6.0;1
274;gin;Bahia;;;https://ginventory.reed.be/api/v2/products/274/picture?type=normal;Kiskaarly;Spain;;7.0;1
275;gin;Bainbridge Heritage Organic Doug Fir Gin;;;https://ginventory.reed.be/api/v2/products/275/picture?type=normal;Bainbridge Distillers;United States;;7.8;4
276;gin;Baldwin's Gin;;;https://ginventory.reed.be/api/v2/products/276/picture?type=normal;Braeckman Graanstokerij Bvba;Belgium;;8.6;33
277;gin;Balfour Street Dry English Gin;;;https://ginventory.reed.be/api/v2/products/277/picture?type=normal;Distiller Sales Company;United States;;8.1;2
278;gin;Old Grove Gin;;;https://ginventory.reed.be/api/v2/products/278/picture?type=normal;Cutwater Spirits (Formerly Ballast Point);United States;;7.9;10
279;gin;Old Grove Gin Barrel Rested;;;https://ginventory.reed.be/api/v2/products/279/picture?type=normal;Cutwater Spirits (Formerly Ballast Point);United States;;8.4;5
280;gin;Bålsta Gin;;;https://ginventory.reed.be/api/v2/products/280/picture?type=normal;AB Svenska Spirit;Sweden;;6.8;2
281;gin;Baltic Dry Gin;;;https://ginventory.reed.be/api/v2/products/281/picture?type=normal;Gutsbrennerei Schloss Zinzow;Germany;;8.7;9
282;gin;Bankes;;;https://ginventory.reed.be/api/v2/products/282/picture?type=normal;Bankes;Italy;;7.6;74
283;gin;Baraldur Turt Ginn;;;https://ginventory.reed.be/api/v2/products/283/picture?type=normal;Dism;Faroe Islands;;8.2;14
285;gin;Barber's London Dry Gin;;;https://ginventory.reed.be/api/v2/products/285/picture?type=normal;Barbers's Gin;United Kingdom;;7.9;43
286;gin;Bardenay London Style Dry Gin;;;https://ginventory.reed.be/api/v2/products/286/picture?type=normal;Bardenay Distillery;United States;;7.8;2
287;gin;Bardò 27;;;https://ginventory.reed.be/api/v2/products/287/picture?type=normal;Bassets Craft Distillery;Belgium;;7.9;4
288;gin;Barekstens Fatlagret Gin;;;https://ginventory.reed.be/api/v2/products/288/picture?type=normal;Det Norske Brenneri;Norway;;8.5;16
289;gin;Barmon's;;;https://ginventory.reed.be/api/v2/products/289/picture?type=normal;Prodis Boissons;France;;6.3;7
290;gin;Barnes Dry Gin;;;https://ginventory.reed.be/api/v2/products/290/picture?type=normal;Five Senses;Italy;;6.0;1
291;gin;Barons London Dry Gin;;;https://ginventory.reed.be/api/v2/products/291/picture?type=normal;Barons Dry Gin Company;United States;;;0
292;gin;Barr Hill Gin;;;https://ginventory.reed.be/api/v2/products/292/picture?type=normal;Caledonia Spirits;United States;;8.7;171
293;gin;Barrett's;;;https://ginventory.reed.be/api/v2/products/293/picture?type=normal;Frank-Lin Distillers Products Ltd.;United States;;7.3;2
294;gin;Bass & Flinders Distillery Gin - Soft And Smooth;Bass & Flinders Distillery Gin;Soft And Smooth;https://ginventory.reed.be/api/v2/products/294/picture?type=normal;Bass & Flinders Distillery;Australia;;8.5;6
295;gin;Bass & Flinders Distillery Gin 10 - Wild And Spicy;Bass & Flinders Distillery Gin 10;Wild And Spicy;https://ginventory.reed.be/api/v2/products/295/picture?type=normal;Bass & Flinders Distillery;Australia;;8.4;13
296;gin;Bassets Flanders Dry Gin;;;https://ginventory.reed.be/api/v2/products/296/picture?type=normal;Bassets Craft Distillery;Belgium;;8.2;5
297;gin;Bassets Scarlet;;;https://ginventory.reed.be/api/v2/products/297/picture?type=normal;Bassets Craft Distillery;Belgium;;7.2;6
